path,tracked,status_code,exists_on_disk,size_bytes,sha256,source_table,generated_by,reporting_task,maintenance_context
afp-engine/src/main/java/com/upland/connect/afp/engine/DefaultAfpConverter.java,1,,1,12794,8c9446c637f16752000b1e2da2f67a95ce0b9a9a719a0ca51933d0d3a8740ab5,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/EngineIdentity.java,1,,1,116,b97ccb67c070406f2abf5511d70d08a2bad900cfdf74406a4944677575bce9f9,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/EngineInputs.java,1,,1,603,f4d24f8e17a631cac75751f0e7dfe00701f6305c83b769c787720e2c35b5a09c,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/EngineOutputs.java,1,,1,255,c746ac3fcfecf4143d93a936618598e19ba62178f11e67f19e0e38d137672365,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/EngineStats.java,1,,1,181,0ee6306b2c6ccdb299429100c41391bfa3b676ed350ee7f5d949b8bf108df189,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/FakeEngineOutputGenerator.java,1,M,1,127760,272067c1ed18f4870c10c44911501ab68c8b5264c19a67a9063d66466ed21f77,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/Fingerprints.java,1,,1,5338,9157d0fbdcc8e219de7ee42f68fe79467679452473ad482d58e798e8ec204972,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/ImageResolutionService.java,1,M,1,7594,73c5955d4ba964e1a023fd6fe0f19c6687e2d26c3c98b7a23373cfece67f8d5b,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/InProcAfpEngineAdapter.java,1,,1,1724,8076c11ccd2d4ad8e9bf721db741f1d3c78687995444f9ed384545d9d511b5ac,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/PdfBoxPdfWriter.java,1,,1,3941,d8fdb157c2c1fb6508e8640443f6139f4d2fa7e9380db069d01f1736b27776a3,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/PdfWriter.java,1,,1,699,e36c205dce3de4177e8523121362260ae9fa35640ca58fb9ef241ab45d4bc9d4,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
